id,length,user_number_1,user_number_2,user_number_3,user_number_4,user_number_5,user_text_1,user_text_2,user_text_3,user_text_4,user_text_5,notes
15,18,,,,,,,,,,,
16,18,,,,,,,,,,,
17,20,,,,,,,,,,,
18,15,,,,,,,,,,,
19,18,,,,,,,,,,,
20,15,,,,,,,,,,,
21,14,,,,,,,,,,,
22,15,,,,,,,,,,,
23,17,,,,,,,,,,,
25,13,,,,,,,,,,,
26,15,,,,,,,,,,,
27,15,,,,,,,,,,,
16US,33,,,,,,,,,,,
16DECK,45,,,,,,,,,,,
16DS,31,,,,,,,,,,,
18US,25,,,,,,,,,,,
18 Deck,40,,,,,,,,,,,
18DS,27,,,,,,,,,,,
Weir,10,,,,,,,,,,,
16A,28,,,,,,,,,,,
