US_NodeID,LinkSuffix,DS_NodeID,AssetID,AssetUID,InfonetID,LinkType,SystemType,SewerRef,BranchID,InvertElev,Diameter,OpeningTyp,DischCoeff,SecDischCf,LimitDisch,MinFlow,MaxFlow,PosChgFlow,NegChgFlow,Threshold,US_SettEff,DS_SettEff,PointArray,Notes,Hyperlinks,UserNum1,UserNum2,UserNum3,UserNum4,UserNum5,UserNum6,UserNum7,UserNum8,UserNum9,UserNum10,UserTxt1,UserTxt2,UserTxt3,UserTxt4,UserTxt5,UserTxt6,UserTxt7,UserTxt8,UserTxt9,UserTxt10
A0026B,1,A0026C,A0026O,"","",Orific,Other,"","",254.13309600101653,0.3048000000012192,Side,0.848528137423857,0.848528137423857,"",0.0,999.0,"","",0.0,0,0,"N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A","",#<WSStructure:0x000133f3c872d8>,0.0,"","","","","","","","","","","","","","","","","","",""
A0027,1,A0029,A0027O,"","",Orific,Other,"","",252.60909600101044,0.3048000000012192,Side,0.848528137423857,0.848528137423857,"",0.0,999.0,"","",0.0,0,0,"N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A","",#<WSStructure:0x000133f3c8e290>,0.0,"","","","","","","","","","","","","","","","","","",""
A0041,1,A0042,A0041O,"","",Orific,Other,"","",252.51156000101005,0.3048000000012192,Side,0.21213203435596426,0.21213203435596426,"",0.0,999.0,"","",0.0,0,0,"N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A","",#<WSStructure:0x000133f3c94dc0>,0.0,"","","","","","","","","","","","","","","","","","",""
A0104O,1,0104,A0104OL,"","",Orific,Other,"","",252.58776000101037,0.3048000000012192,Side,0.848528137423857,0.848528137423857,"",0.0,999.0,"","",0.0,0,0,"N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A","",#<WSStructure:0x000133f3ca4ef0>,0.0,"","","","","","","","","","","","","","","","","","",""
A0104.1O,1,0104,A0140OBL,"","",Orific,Other,"","",252.2982000010092,0.2538984000010156,Side,0.848528137423857,0.848528137423857,"",0.0,999.0,"","",0.0,0,0,"N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A","",#<WSStructure:0x000133f3cad2f8>,0.0,"","","","","","","","","","","","","","","","","","",""
MH-3092,1,MH-3092-ORI,MH-3092-ORI,"","",Orific,Other,"","",256.9768800010279,0.2033016000008132,Side,0.9192388155425119,0.9192388155425119,"",0.0,999.0,"","",0.0,0,0,"N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A","",#<WSStructure:0x000133f3cb4878>,0.0,"","","","","","","","","","","","","","","","","","",""
JCT-16,1,JCT-14,ORI-11,"","",Orific,Other,"","",254.6207760010185,0.2033016000008132,Side,0.848528137423857,0.848528137423857,"",0.0,999.0,"","",0.0,0,0,"N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A","",#<WSStructure:0x000133f3cc7ea0>,0.0,"","","","","","","","","","","","","","","","","","",""
A0700,1,JCT-18,ORI-13,"","",Orific,Other,"","",250.81992000100328,0.40538400000162156,Bottom,0.848528137423857,0.587,"",0.0,999.0,"","",0.0,0,0,"N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A","",#<WSStructure:0x00013394a77808>,0.0,"","","","","","","","","","","","","","","","","","",""
P01ALT01-014,1,P01ALT02-003,P01ALT02-002-ORI,"","",Orific,Other,"","",250.16460000100065,0.6096000000024384,Side,0.9192388155425119,0.9192388155425119,"",0.0,999.0,"","",0.0,0,0,"N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A","",#<WSStructure:0x0001339529f8c8>,0.0,"","","","","","","","","","","","","","","","","","",""
SW_4680,2,SW_R_10395,R_10395,"","",Orific,Other,"","",262.18896000104877,0.381000000001524,Bottom,0.9192388155425119,0.587,"",0.0,999.0,"","",0.0,0,0,"N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A","",#<WSStructure:0x0001338ded3a70>,0.0,"","","","","","","","","","","","","","","","","","",""
SW_4310,1,SW_R_10387,Ri_10387,"","",Orific,Other,"","",260.76554400104305,0.190500000000762,Bottom,0.9192388155425119,0.587,"",0.0,999.0,"","",0.0,0,0,"N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A","",#<WSStructure:0x00013388327b40>,0.0,"","","","","","","","","","","","","","","","","","",""
SW_R_10390,1,SW_5716,Ri_10390,"","",Orific,Other,"","",256.56540000102626,0.13462010160053847,Bottom,0.9192388155425119,0.587,"",0.0,999.0,"","",0.0,0,0,"N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A","",#<WSStructure:0x0001338d2dfca0>,0.0,"","","","","","","","","","","","","","","","","","",""
